name,region,country,lat,lon,tz_id,condition,temp_c,temp_f,is_day,wind_mph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,feelslike_f,localtime,last_updated,name_normalized,system_id,record_id
Recife,Pernambuco,Brazil,-8.05,-34.88,America/Recife,Partly cloudy,28.0,82.4,0.0,9.4,1012.0,0.0,70.0,75.0,31.7,89.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Recife,2611606,50
São José dos Campos,Sao Paulo,Brazil,-23.19,-45.88,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,32.3,90.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Sao Jose dos Campos,3549904,50
São Paulo,Sao Paulo,Brazil,-23.53,-46.64,America/Sao_Paulo,Clear,27.0,80.6,0.0,5.6,1010.0,0.0,79.0,0.0,26.5,79.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Sao Paulo,3550308,50
Caçapava,Sao Paulo,Brazil,-23.1,-45.71,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,32.5,90.6,2023-11-17 19:59:00,2023-11-17 19:45:00,Cacapava,3508504,50
Igaratá,Sao Paulo,Brazil,-23.21,-46.15,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,31.9,89.4,2023-11-17 19:59:00,2023-11-17 19:45:00,Igarata,3520202,50
Jacareí,Sao Paulo,Brazil,-23.3,-45.97,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,31.9,89.4,2023-11-17 19:59:00,2023-11-17 19:45:00,Jacarei,3524402,50
Jambeiro,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,31.8,89.3,2023-11-17 19:59:00,2023-11-17 19:45:00,Jambeiro,3524907,50
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,32.2,90.0,2023-11-17 19:59:00,2023-11-17 19:45:00,Monteiro Lobato,3531704,50
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,31.8,89.3,2023-11-17 19:59:00,2023-11-17 19:45:00,Paraibuna,3535606,50
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,46.0,50.0,32.4,90.2,2023-11-17 19:59:00,2023-11-17 19:45:00,Santa Branca,3546009,50
Campos do Jordão,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,27.6,81.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Campos do Jordao,3509700,50
Lagoinha,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,28.1,82.6,2023-11-17 19:59:00,2023-11-17 19:45:00,Lagoinha,3526308,50
Natividade da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,Clear,23.0,73.4,0.0,3.4,1006.0,0.0,76.0,11.0,25.0,77.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Natividade da Serra,3532306,50
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,27.6,81.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Pindamonhangaba,3538006,50
Redenção da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,27.2,81.0,2023-11-17 19:59:00,2023-11-17 19:45:00,Redencao da Serra,3542305,50
Santo Antônio do Pinhal,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,27.6,81.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Santo Antonio do Pinhal,3548203,50
São Bento do Sapucaí,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,27.6,81.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Sao Bento do Sapucai,3548609,50
São Luiz do Paraitinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,28.1,82.6,2023-11-17 19:59:00,2023-11-17 19:45:00,Sao Luiz do Paraitinga,3550001,50
Taubaté,Sao Paulo,Brazil,-23.01,-45.56,America/Sao_Paulo,Partly cloudy,27.0,80.6,0.0,3.8,1008.0,0.0,58.0,50.0,27.4,81.3,2023-11-17 19:59:00,2023-11-17 19:45:00,Taubate,3554102,50
