name,region,country,lat,lon,tz_id,condition,temp_c,temp_f,is_day,wind_mph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,feelslike_f,localtime,last_updated,name_normalized,system_id,record_id
Recife,Pernambuco,Brazil,-8.05,-34.88,America/Recife,Partly cloudy,27.0,80.6,0.0,6.9,1011.0,0.2,79.0,50.0,30.2,86.4,2023-11-17 02:03:00,2023-11-17 02:00:00,Recife,2611606,18
São José dos Campos,Sao Paulo,Brazil,-23.19,-45.88,America/Sao_Paulo,Clear,19.2,66.5,0.0,2.7,1009.0,0.0,88.0,14.0,19.2,66.5,2023-11-17 02:03:00,2023-11-17 02:00:00,Sao Jose dos Campos,3549904,18
São Paulo,Sao Paulo,Brazil,-23.53,-46.64,America/Sao_Paulo,Clear,24.0,75.2,0.0,3.8,1012.0,0.0,74.0,0.0,25.9,78.6,2023-11-17 02:03:00,2023-11-17 02:00:00,Sao Paulo,3550308,18
Caçapava,Sao Paulo,Brazil,-23.1,-45.71,America/Sao_Paulo,Clear,20.6,69.1,0.0,4.0,1011.0,0.0,81.0,11.0,20.6,69.1,2023-11-17 01:59:00,2023-11-17 01:45:00,Cacapava,3508504,18
Igaratá,Sao Paulo,Brazil,-23.21,-46.15,America/Sao_Paulo,Clear,23.0,73.4,0.0,3.8,1011.0,0.0,83.0,0.0,25.1,77.3,2023-11-17 02:03:00,2023-11-17 02:00:00,Igarata,3520202,18
Jacareí,Sao Paulo,Brazil,-23.3,-45.97,America/Sao_Paulo,Clear,23.0,73.4,0.0,3.8,1011.0,0.0,83.0,0.0,25.1,77.3,2023-11-17 02:03:00,2023-11-17 02:00:00,Jacarei,3524402,18
Jambeiro,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,Partly cloudy,21.1,69.9,0.0,2.5,1011.0,0.0,85.0,31.0,21.1,69.9,2023-11-17 01:59:00,2023-11-17 01:45:00,Jambeiro,3524907,18
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,Partly cloudy,18.6,65.5,0.0,2.2,1010.0,0.0,92.0,26.0,18.6,65.5,2023-11-17 02:02:00,2023-11-17 02:00:00,Monteiro Lobato,3531704,18
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,Clear,20.9,69.6,0.0,2.2,1010.0,0.0,87.0,24.0,20.9,69.6,2023-11-17 02:03:00,2023-11-17 02:00:00,Paraibuna,3535606,18
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,Clear,23.0,73.4,0.0,3.8,1011.0,0.0,83.0,0.0,25.3,77.5,2023-11-17 02:03:00,2023-11-17 02:00:00,Santa Branca,3546009,18
Campos do Jordão,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,Clear,17.2,63.0,0.0,2.2,1010.0,0.0,81.0,10.0,17.3,63.1,2023-11-17 02:03:00,2023-11-17 02:00:00,Campos do Jordao,3509700,18
Lagoinha,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,Clear,20.2,68.4,0.0,2.2,1011.0,0.0,77.0,10.0,20.2,68.4,2023-11-17 02:03:00,2023-11-17 02:00:00,Lagoinha,3526308,18
Natividade da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,Mist,23.0,73.3,0.0,2.2,1011.0,0.0,94.0,61.0,25.3,77.6,2023-11-17 01:59:00,2023-11-17 01:45:00,Natividade da Serra,3532306,18
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,Clear,17.2,63.0,0.0,2.2,1010.0,0.0,81.0,10.0,17.3,63.1,2023-11-17 02:03:00,2023-11-17 02:00:00,Pindamonhangaba,3538006,18
Redenção da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,Partly cloudy,18.6,65.5,0.0,2.2,1010.0,0.0,92.0,26.0,18.6,65.5,2023-11-17 02:03:00,2023-11-17 02:00:00,Redencao da Serra,3542305,18
